director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,col_merge
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure Comedy Crime Family Musical,muppets most wanted,Ty Burrell Tina Fey Hugh Bonneville James Bobin Adventure Comedy Crime Family Musical
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,thunderbirds,Sophia Myles Philip Winchester Brady Corbet Jonathan Frakes Action Adventure Comedy Family Sci-Fi
Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance,burlesque,Eric Dane Peter Gallagher David Walton Steve Antin Drama Music Musical Romance
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama Mystery Romance War,a very long engagement,Denis Lavant André Dussollier Albert Dupontel Jean-Pierre Jeunet Drama Mystery Romance War
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,eye see you,Sylvester Stallone Tom Berenger Charles S. Dutton Jim Gillespie Crime Horror Mystery Thriller
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,blade ii,Norman Reedus Thomas Kretschmann Tony Curran Guillermo del Toro Action Horror Sci-Fi Thriller
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,Drama Romance,seven pounds,Will Smith Rosario Dawson Madison Pettis Gabriele Muccino Drama Romance
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,Action Thriller,bullet to the head,Sylvester Stallone Jason Momoa Jon Seda Walter Hill Action Thriller
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,Comedy Drama Romance,elizabethtown,Orlando Bloom Kirsten Dunst Judy Greer Cameron Crowe Comedy Drama Romance
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,Comedy Romance,"you, me and dupree",Todd Stashwick Billy Gardell Amanda Detmer Anthony Russo Comedy Romance
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,Comedy Crime Romance,gigli,Todd Giebenhain Lenny Venito David Backus Martin Brest Comedy Crime Romance
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,Drama Thriller,all the king's men,Kate Winslet Anthony Hopkins Kevin Dunn Steven Zaillian Drama Thriller
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Drama Musical Romance,moulin rouge!,Jim Broadbent Kylie Minogue Richard Roxburgh Baz Luhrmann Drama Musical Romance
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,Crime Mystery Thriller,domestic disturbance,Steve Buscemi Teri Polo Matt O'Leary Harold Becker Crime Mystery Thriller
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,Biography Crime Drama,black mass,Johnny Depp Benedict Cumberbatch Adam Scott Scott Cooper Biography Crime Drama
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,Drama History War,flags of our fathers,Paul Walker Chris Bauer Tom McCarthy Clint Eastwood Drama History War
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,Crime Drama Thriller,law abiding citizen,Gerard Butler Leslie Bibb Michael Kelly F. Gary Gray Crime Drama Thriller
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,Action Horror Thriller,grindhouse,Quentin Tarantino Rosario Dawson Zoë Bell Robert Rodriguez Action Horror Thriller
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Drama Romance Sport,lucky you,Robert Downey Jr. Robert Duvall Kelvin Han Yee Curtis Hanson Drama Romance Sport
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Biography Crime Drama,catch me if you can,Leonardo DiCaprio Tom Hanks Jennifer Garner Steven Spielberg Biography Crime Drama
Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,Drama History Thriller,zero dark thirty,Jennifer Ehle Harold Perrineau Parker Sawyers Kathryn Bigelow Drama History Thriller
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,Comedy Drama Romance,the break-up,Jon Favreau John Michael Higgins Ann-Margret Peyton Reed Comedy Drama Romance
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,Comedy Family Musical Romance,mamma mia!,Colin Firth Meryl Streep Julie Walters Phyllida Lloyd Comedy Family Musical Romance
Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,Comedy Romance,valentine's day,Bradley Cooper Taylor Lautner Anne Hathaway Garry Marshall Comedy Romance
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,Action Adventure Comedy,the dukes of hazzard,Alice Greczyn Jessica Simpson Michael Weston Jay Chandrasekhar Action Adventure Comedy
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,Comedy Fantasy,the change-up,Ryan Reynolds Olivia Wilde Mircea Monroe David Dobkin Comedy Fantasy
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Action Thriller,from paris with love,Kasia Smutniak Amber Rose Revah Rebecca Dayan Pierre Morel Action Thriller
Paul Hunter,Jaime King,Mako,Victoria Smurfit,Action Comedy Fantasy,bulletproof monk,Jaime King Mako Victoria Smurfit Paul Hunter Action Comedy Fantasy
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,Animation Comedy Family,barnyard,Rob Paulsen Wanda Sykes Maurice LaMarche Steve Oedekerk Animation Comedy Family
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,Comedy Family,deck the halls,Matthew Broderick Jorge Garcia Alia Shawkat John Whitesell Comedy Family
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: new moon,Robert Pattinson Kristen Stewart Taylor Lautner Chris Weitz Adventure Drama Fantasy Romance
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,Adventure Animation Comedy Family Fantasy,shrek,Kathleen Freeman Chris Miller Bobby Block Andrew Adamson Adventure Animation Comedy Family Fantasy
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,Romance Sci-Fi Thriller,the adjustment bureau,Matt Damon Michael Kelly Jon Stewart George Nolfi Romance Sci-Fi Thriller
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,Comedy Fantasy,ted,Mila Kunis Seth MacFarlane Tom Skerritt Seth MacFarlane Comedy Fantasy
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,Comedy,anchorman 2: the legend continues,Harrison Ford Will Ferrell Steve Carell Adam McKay Comedy
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,Comedy Romance,mr. deeds,Steve Buscemi Adam Sandler Peter Gallagher Steven Brill Comedy Romance
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,Mystery Sci-Fi Thriller,super 8,Joel Courtney AJ Michalka Zach Mills J.J. Abrams Mystery Sci-Fi Thriller
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,Comedy Romance,how to lose a guy in 10 days,Matthew McConaughey Adam Goldberg Thomas Lennon Donald Petrie Comedy Romance
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,Action Comedy Crime,22 jump street,Channing Tatum Craig Roberts Amber Stevens West Phil Lord Action Comedy Crime
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,Comedy Romance,yes man,Bradley Cooper Zooey Deschanel Danny Masterson Peyton Reed Comedy Romance
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,Action Comedy Crime,central intelligence,Dwayne Johnson Thomas Kretschmann Megan Park Rawson Marshall Thurber Action Comedy Crime
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,Comedy Family,daddy's home,Will Ferrell Linda Cardellini Mark L. Young Sean Anders Comedy Family
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,Adventure Comedy Drama Fantasy Musical,into the woods,Johnny Depp Meryl Streep Anna Kendrick Rob Marshall Adventure Comedy Drama Fantasy Musical
Spike Lee,Denzel Washington,James Ransone,Peter Gerety,Crime Drama Mystery Thriller,inside man,Denzel Washington James Ransone Peter Gerety Spike Lee Crime Drama Mystery Thriller
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,Comedy Drama Family,we bought a zoo,Scarlett Johansson Matt Damon Stephanie Szostak Cameron Crowe Comedy Drama Family
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama Mystery Sci-Fi Thriller,knowing,Nicolas Cage Ben Mendelsohn Chandler Canterbury Alex Proyas Drama Mystery Sci-Fi Thriller
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,Comedy Romance,failure to launch,Bradley Cooper Matthew McConaughey Zooey Deschanel Tom Dey Comedy Romance
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,Horror Mystery,the ring two,Naomi Watts Gary Cole Sissy Spacek Hideo Nakata Horror Mystery
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,Comedy Drama Romance,"crazy, stupid, love.",Ryan Gosling Emma Stone Steve Carell Glenn Ficarra Comedy Drama Romance
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,Animation Comedy Family Fantasy,garfield,Bill Murray Mark Christopher Lawrence Michael Monks Peter Hewitt Animation Comedy Family Fantasy
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,Comedy Family,christmas with the kranks,Jamie Lee Curtis Cheech Marin Jake Busey Joe Roth Comedy Family
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,Biography Drama Sport,moneyball,Philip Seymour Hoffman Robin Wright Brad Pitt Bennett Miller Biography Drama Sport
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,Action Mystery Thriller,non-stop,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra Action Mystery Thriller
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,Action Adventure Family Fantasy Sci-Fi Thriller,race to witch mountain,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman Action Adventure Family Fantasy Sci-Fi Thriller
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,Action Drama Thriller,v for vendetta,Natalie Portman Eddie Marsan Rupert Graves James McTeigue Action Drama Thriller
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,Action Adventure Comedy,shanghai knights,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin Action Adventure Comedy
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,Adventure Animation Comedy Family,curious george,Will Ferrell Frank Welker Alexander Gould Matthew O'Callaghan Adventure Animation Comedy Family
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,Adventure Comedy Family Fantasy Romance Sport,herbie fully loaded,Scoot McNairy Thomas Lennon Cheryl Hines Angela Robinson Adventure Comedy Family Fantasy Romance Sport
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,Crime Drama Mystery Thriller,don't say a word,Oliver Platt Jennifer Esposito Conrad Goode Gary Fleder Crime Drama Mystery Thriller
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,Action Fantasy Horror,hansel & gretel: witch hunters,Jeremy Renner Derek Mears Ingrid Bolsø Berdal Tommy Wirkola Action Fantasy Horror
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,Drama Thriller,unfaithful,Olivier Martinez Erik Per Sullivan Chad Lowe Adrian Lyne Drama Thriller
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action Adventure Sci-Fi Thriller,i am number four,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso Action Adventure Sci-Fi Thriller
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,Action Drama Thriller War,13 hours,Toby Stephens James Badge Dale David Costabile Michael Bay Action Drama Thriller War
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,Adventure Animation Comedy Family Fantasy Romance,the book of life,Channing Tatum Hector Elizondo Ana de la Reguera Jorge R. Gutiérrez Adventure Animation Comedy Family Fantasy Romance
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Crime Thriller,firewall,Jimmy Bennett Harrison Ford Mary Lynn Rajskub Richard Loncraine Crime Thriller
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,Adventure Horror Mystery,silent hill,Radha Mitchell Deborah Kara Unger Alice Krige Christophe Gans Adventure Horror Mystery
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Comedy,american reunion,Alyson Hannigan Dania Ramirez Natasha Lyonne Jon Hurwitz Comedy
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Action Thriller,into the storm,Matt Walsh Alycia Debnam-Carey Scott Lawrence Steven Quale Action Thriller
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,Crime Drama,the judge,Robert Downey Jr. Robert Duvall Leighton Meester David Dobkin Crime Drama
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action Horror Sci-Fi Thriller,resident evil: apocalypse,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Sci-Fi Thriller
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,Comedy Drama Romance,bridget jones: the edge of reason,Colin Firth Jim Broadbent Celia Imrie Beeban Kidron Comedy Drama Romance
Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,Crime Drama Romance Thriller,out of time,Denzel Washington Sanaa Lathan John Billingsley Carl Franklin Crime Drama Romance Thriller
Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,Action Adventure Family Fantasy,the adventures of sharkboy and lavagirl 3-d,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy
Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,Comedy Drama Romance,raising helen,Amber Valletta Felicity Huffman Spencer Breslin Garry Marshall Comedy Drama Romance
James McTeigue,Shô Kosugi,Ben Miles,Rain,Action Crime Thriller,ninja assassin,Shô Kosugi Ben Miles Rain James McTeigue Action Crime Thriller
Tom Dey,Emma Stone,Judy Greer,Steve Coogan,Comedy Family,marmaduke,Emma Stone Judy Greer Steve Coogan Tom Dey Comedy Family
Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,Drama Fantasy,hereafter,Matt Damon Jay Mohr Cécile De France Clint Eastwood Drama Fantasy
Peter Webber,Li Gong,Stephen Walters,Richard Brake,Crime Drama Thriller,hannibal rising,Li Gong Stephen Walters Richard Brake Peter Webber Crime Drama Thriller
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action Crime Drama Mystery Thriller,basic,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action Crime Drama Mystery Thriller,blood work,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Action Crime Drama Mystery Thriller,the international,Naomi Watts Brían F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Adventure Comedy Drama,the life aquatic with steve zissou,Bill Murray Anjelica Huston Matthew Gray Gubler Wes Anderson Adventure Comedy Drama
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,Action Biography Drama History War,free state of jones,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War
Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,Crime Drama Thriller,the life of david gale,Kevin Spacey Kate Winslet Matt Craven Alan Parker Crime Drama Thriller
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,Action Comedy,man of the house,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,Action Crime Drama Thriller,run all night,Liam Neeson Common Bruce McGill Jaume Collet-Serra Action Crime Drama Thriller
David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime Mystery Thriller,eastern promises,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller
John Stockwell,Paul Walker,James Frain,Ashley Scott,Action Adventure Crime Thriller,into the blue,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,Adventure Comedy Fantasy,your highness,Natalie Portman Zooey Deschanel James Franco David Gordon Green Adventure Comedy Fantasy
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,Drama Mystery Thriller,dream house,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,fair game,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,Action Biography Crime Drama Thriller,domino,Ian Ziering Mo'Nique Edgar Ramírez Tony Scott Action Biography Crime Drama Thriller
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action Sci-Fi Thriller,gamer,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Sci-Fi Thriller
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama Fantasy Romance,beautiful creatures,Alden Ehrenreich Zoey Deutch Pruitt Taylor Vince Richard LaGravenese Drama Fantasy Romance
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,Comedy Crime Drama Thriller,death to smoochy,Robin Williams Vincent Schiavelli Danny Woodburn Danny DeVito Comedy Crime Drama Thriller
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,Comedy,zoolander 2,Milla Jovovich Will Ferrell Justin Theroux Ben Stiller Comedy
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,Comedy Crime,the big bounce,Morgan Freeman Andrew Wilson Willie Nelson George Armitage Comedy Crime
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,Action Fantasy Thriller,drive angry,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
James Wong,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,the one,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Comedy Drama Music,pirate radio,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,anna karenina,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,chappie,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,panic room,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,the tooth fairy,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,child 44,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,rat race,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,k-pax,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,kate & leopold,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,3:10 to yuma,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,taken 3,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,Biography Comedy Drama,riding in cars with boys,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama
Paul Bolger,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Adventure Animation Comedy Family Fantasy,happily n'ever after,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy
Joe Roth,Julia Roberts,Rainn Wilson,Larry King,Comedy Romance,america's sweethearts,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance
Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,insomnia,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,jonah hex,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western
Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Biography Crime Drama Thriller,the infiltrator,Joseph Gilgun Amy Ryan Olympia Dukakis Brad Furman Biography Crime Drama Thriller
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,taken 2,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller
David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,Comedy,scary movie 3,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Sci-Fi
Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance,the princess diaries 2: royal engagement,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy Family Romance
Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama,the bucket list,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure Comedy Drama
Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance,monster-in-law,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy Romance
Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,prisoners,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller
Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller,training day,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime Drama Thriller
Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy,scary movie 2,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy
James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical,the muppets,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure Comedy Family Musical
Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport,coach carter,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama Sport
Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller,changing lanes,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama Thriller
Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance,love actually,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy Drama Romance
Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport,kicking & screaming,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy Family Romance Sport
Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure Comedy Sci-Fi
Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance,fat albert,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy Family Fantasy Romance
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,resident evil: extinction,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Sci-Fi Thriller
Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance,blended,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy Romance
Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama,last holiday,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure Comedy Drama
Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller,savages,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime Drama Thriller
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,cellular,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,johnny english,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy
John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy,the ant bully,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure Animation Comedy Family Fantasy
Sam Mendes,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance,revolutionary road,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama Romance
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,16 blocks,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,babylon a.d.,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Sci-Fi Thriller
John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure Comedy Family Fantasy Sci-Fi
Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,the pledge,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller
Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical,the producers,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy Musical
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd,Wood Harris Jason Cope Rakie Ayola Pete Travis Action Sci-Fi
